id,group,redbook_vol,bg_name,taxon,redbook_status,wp_exists,wp_url,wikidata_qid,redbook_url,rb_bg_name,rb_taxon,wd_bg_name,wd_taxon,wd_rb_taxon_match,content_status,wd_linked,notes
7,plants_fungi,vol1,Алдрованда,Aldrovanda vesiculosa,CR,yes,https://bg.wikipedia.org/wiki/Алдрованда,Q19668,http://e-ecodb.bas.bg/rdb/bg/vol1/Aldvesic.html,Алдрованда,Aldrovanda vesiculosa,алдрованда,Aldrovanda,no,todo,,
14,plants_fungi,vol1,Алпийски зърнастец,Rhamnus alpinus,EN,yes,https://bg.wikipedia.org/wiki/Алпийски_зърнастец,Q3338352,http://e-ecodb.bas.bg/rdb/bg/vol1/Rhaalpin.html,Алпийски зърнастец,Rhamnus alpinus,Алпийски зърнастец,Rhamnus alpina,no,published_bot,yes,Article + Wikidata bgwiki sitelink created by bot 2026-06-23
15,plants_fungi,vol1,Алпийски корал,Hericium flagellum,EN,yes,https://bg.wikipedia.org/wiki/Алпийски_корал,Q10522344,http://e-ecodb.bas.bg/rdb/bg/vol1/Herflage.html,Алпийски корал,Hericium flagellum,Алпийски корал,Hericium alpestre,no,published_bot,yes,Article + Wikidata bgwiki sitelink created by bot 2026-06-23
18,plants_fungi,vol1,Алпийско притцелаго,Pritzelago alpina subsp. brevicaulis,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Prialpin.html,Алпийско притцелаго,Pritzelago alpina subsp. brevicaulis,,,,todo,,WD: no candidate
38,plants_fungi,vol1,Балканско часовниче,Erodium absinthoides subsp. balcanicum,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Eroabsin.html,Балканско часовниче,Erodium absinthoides subsp. balcanicum,,,,todo,,WD: no candidate
51,plants_fungi,vol1,Бесерова змийска трева,Goniolimon besseranum,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Gonbesse.html,Бесерова змийска трева,Goniolimon besseranum,,,,todo,,WD: no candidate
88,plants_fungi,vol1,Български ерантис,Eranthis bulgaricus,CR,yes,https://bg.wikipedia.org/wiki/Български_ерантис,Q17813039,http://e-ecodb.bas.bg/rdb/bg/vol1/Erabulga.html,Български ерантис,Eranthis bulgaricus,български ерантис,Eranthis bulgarica,no,published_bot,yes,bgwiki sitelink set by bot; Article + Wikidata bgwiki sitelink created by bot 23 юни 2026
98,plants_fungi,vol1,Вайлантова антродия,Antrodia vaillantii,EN,yes,https://bg.wikipedia.org/wiki/Вайлантова_антродия,Q2720064,http://e-ecodb.bas.bg/rdb/bg/vol1/Antvaill.html,Вайлантова антродия,Antrodia vaillantii,Fibroporia vaillantii,Fibroporia vaillantii,no,published_bot,yes,bgwiki sitelink set by bot; Article + Wikidata bgwiki sitelink created by bot 23 юни 2026
114,plants_fungi,vol1,Вкореняваща се орешарка,Clitocybe vermicularis,EN,yes,https://bg.wikipedia.org/wiki/%D0%92%D0%BA%D0%BE%D1%80%D0%B5%D0%BD%D1%8F%D0%B2%D0%B0%D1%89%D0%B0_%D1%81%D0%B5_%D0%BE%D1%80%D0%B5%D1%88%D0%B0%D1%80%D0%BA%D0%B0,Q10455219,http://e-ecodb.bas.bg/rdb/bg/vol1/Clivermi.html,Вкореняваща се орешарка,Clitocybe vermicularis,Clitocybe rhizophora,Clitocybe rhizophora,no,published_bot,yes,bgwiki sitelink set by bot; Article + Wikidata bgwiki sitelink created by bot 2026-06-24
116,plants_fungi,vol1,Влакнест скорпиурус,Scorpiurus subvillosus,EN,yes,https://bg.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%BA%D0%BD%D0%B5%D1%81%D1%82_%D1%81%D0%BA%D0%BE%D1%80%D0%BF%D0%B8%D1%83%D1%80%D1%83%D1%81,Q3762497,http://e-ecodb.bas.bg/rdb/bg/vol1/Scosubvi.html,Влакнест скорпиурус,Scorpiurus subvillosus,Scorpiurus muricatus,Scorpiurus muricatus,no,published_bot,yes,bgwiki sitelink set by bot; Article + Wikidata bgwiki sitelink created by bot 2026-06-24
117,plants_fungi,vol1,Влакнеста басия,Bassia hirsuta,EN,yes,https://bg.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%BA%D0%BD%D0%B5%D1%81%D1%82%D0%B0_%D0%B1%D0%B0%D1%81%D0%B8%D1%8F,Q2133169,http://e-ecodb.bas.bg/rdb/bg/vol1/Bashirsu.html,Влакнеста басия,Bassia hirsuta,Spirobassia hirsuta,Spirobassia hirsuta,no,published_bot,yes,bgwiki sitelink set by bot; Article + Wikidata bgwiki sitelink created by bot 2026-06-24
134,plants_fungi,vol1,Габърова манатарка,Boletus depilatus,EN,yes,https://bg.wikipedia.org/wiki/%D0%93%D0%B0%D0%B1%D1%8A%D1%80%D0%BE%D0%B2%D0%B0_%D0%BC%D0%B0%D0%BD%D0%B0%D1%82%D0%B0%D1%80%D0%BA%D0%B0,Q12021263,http://e-ecodb.bas.bg/rdb/bg/vol1/Boldepil.html,Габърова манатарка,Boletus depilatus,Габърова манатарка,Hemileccinum depilatum,no,published_bot,yes,bgwiki sitelink set by bot
161,plants_fungi,vol1,Двувърха алеурия,Aleuria bicuculata,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Alebicuc.html,Двувърха алеурия,Aleuria bicuculata,,,,todo,,WD: no candidate
181,plants_fungi,vol1,Дребно еньовче,Galium demisum,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Galdemis.html,Дребно еньовче,Galium demisum,,,,todo,,WD: no candidate
183,plants_fungi,vol1,Дребнолюспеста печурка,Agaricus squamulifer,EN,yes,https://bg.wikipedia.org/wiki/%D0%94%D1%80%D0%B5%D0%B1%D0%BD%D0%BE%D0%BB%D1%8E%D1%81%D0%BF%D0%B5%D1%81%D1%82%D0%B0_%D0%BF%D0%B5%D1%87%D1%83%D1%80%D0%BA%D0%B0,Q4353719,http://e-ecodb.bas.bg/rdb/bg/vol1/Agasquam.html,Дребнолюспеста печурка,Agaricus squamulifer,Дребнолюспеста печурка,Agaricus benesii,no,published_bot,yes,bgwiki sitelink set by bot
202,plants_fungi,vol1,Еделвайс,Leontopodium alpinum,EN,yes,https://bg.wikipedia.org/wiki/Еделвайс,Q178265,http://e-ecodb.bas.bg/rdb/bg/vol1/Leoalpin.html,Еделвайс,Leontopodium alpinum,Алпийски еделвайс,Leontopodium nivale,no,todo,,
214,plants_fungi,vol1,Езерен шилолист,Isoetes lacustris,EN,yes,https://bg.wikipedia.org/wiki/Езерен_шилолист,Q1192790,http://e-ecodb.bas.bg/rdb/bg/vol1/Isolacus.html,Езерен шилолист,Isoetes lacustris,езерен шилолист,Isoëtes lacustris,no,todo,,
227,plants_fungi,vol1,Жълто-бяла дисцина,Discina leucoxantha,EN,no,,Q10512221,http://e-ecodb.bas.bg/rdb/bg/vol1/Disleuco.html,Жълто-бяла дисцина,Discina leucoxantha,Жълтобяла дисцина,Gyromitra leucoxantha,no,todo,,
237,plants_fungi,vol1,Зъбчата урока,Bupleurum odontites,EN,no,,Q8253638,http://e-ecodb.bas.bg/rdb/bg/vol1/Bupodont.html,Зъбчата урока,Bupleurum odontites,Bupleurum baldense,Bupleurum baldense,no,todo,,
271,plants_fungi,vol1,Катерлива ефедра,Ephedra fragilis subsp. campylopoda,CR,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Ephfragi.html,Катерлива ефедра,Ephedra fragilis subsp. campylopoda,,,,todo,,WD: no candidate
278,plants_fungi,vol1,Кичест блатняк,Caltha polypetala,EN,yes,https://bg.wikipedia.org/wiki/Обикновен_блатняк,Q147192,http://e-ecodb.bas.bg/rdb/bg/vol1/Calpolyp.html,Кичест блатняк,Caltha polypetala,обикновен блатняк,Caltha palustris,no,todo,,Existing WP article under different title (Обикновен блатняк); Q147192 already has bgwiki sitelink
280,plants_fungi,vol1,Кладованов карамфил,Dianthus pontederae subsp. kladovanus,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Diaponte.html,Кладованов карамфил,Dianthus pontederae subsp. kladovanus,,,,todo,,WD: no candidate
296,plants_fungi,vol1,Крайморски отантус,Otanthus maritimus,CR,no,,Q5221217,http://e-ecodb.bas.bg/rdb/bg/vol1/Otamarit.html,Крайморски отантус,Otanthus maritimus,Otanthus,Otanthus,no,todo,,
324,plants_fungi,vol1,Лепкава лимацела,Limacella glioderma,EN,no,,Q1305809,http://e-ecodb.bas.bg/rdb/bg/vol1/Limgliod.html,Лепкава лимацела,Limacella glioderma,Limacella delicata,Limacella delicata,no,todo,,
338,plants_fungi,vol1,Малка ежова главица,Sparganium minimum,CR,no,,Q159640,http://e-ecodb.bas.bg/rdb/bg/vol1/Spaminim.html,Малка ежова главица,Sparganium minimum,Sparganium natans,Sparganium natans,no,todo,,
343,plants_fungi,vol1,Маршалска камилска трева,Corispermum marschalii,EN,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Cormarsc.html,Маршалска камилска трева,Corispermum marschalii,,,,todo,,WD: no candidate
372,plants_fungi,vol1,Нежна аубриета,Aubrieta gracilis subsp. scardica,VU,no,,,http://e-ecodb.bas.bg/rdb/bg/vol1/Aubgraci.html,Нежна аубриета,Aubrieta gracilis subsp. scardica,,,,todo,,WD: no candidate
